2026-06-26 12:00:55 | INFO | Kafka Consumer Started
2026-06-26 12:01:04 | INFO | Consumer Stopped
2026-06-26 12:03:34 | INFO | Kafka Consumer Started
2026-06-26 12:04:06 | INFO | Instagram | Amanda Delgado | Inserted Successfully
2026-06-26 12:04:07 | INFO | Instagram | Candice Hicks | Inserted Successfully
2026-06-26 12:04:08 | INFO | Instagram | Tammy Alexander | Inserted Successfully
2026-06-26 12:04:09 | INFO | Instagram | Michelle Duke | Inserted Successfully
2026-06-26 12:04:10 | INFO | Instagram | Noah Davis | Inserted Successfully
2026-06-26 12:04:11 | INFO | Instagram | Alec Moreno | Inserted Successfully
2026-06-26 12:04:12 | INFO | Instagram | Heather Hopkins | Inserted Successfully
2026-06-26 12:04:13 | INFO | Instagram | Brian Ross | Inserted Successfully
2026-06-26 12:04:14 | INFO | Instagram | Patrick Kim | Inserted Successfully
2026-06-26 12:04:15 | INFO | Instagram | Eric Hensley | Inserted Successfully
2026-06-26 12:04:16 | INFO | Instagram | Kimberly Huff | Inserted Successfully
2026-06-26 12:04:17 | INFO | Instagram | Ariel Hill | Inserted Successfully
2026-06-26 12:04:18 | INFO | Instagram | Adam Hicks | Inserted Successfully
2026-06-26 12:04:19 | INFO | Instagram | Michael Livingston | Inserted Successfully
2026-06-26 12:04:20 | INFO | Instagram | Elizabeth Myers | Inserted Successfully
2026-06-26 12:04:21 | INFO | Instagram | Mandy Thomas | Inserted Successfully
2026-06-26 12:04:22 | INFO | Instagram | Matthew Garcia | Inserted Successfully
2026-06-26 12:04:23 | INFO | Instagram | Matthew Landry | Inserted Successfully
2026-06-26 12:04:24 | INFO | Instagram | Christie Mccoy | Inserted Successfully
2026-06-26 12:04:25 | INFO | Instagram | Donald Munoz | Inserted Successfully
2026-06-26 12:04:26 | INFO | Instagram | Jason Allen | Inserted Successfully
2026-06-26 12:04:27 | INFO | Instagram | Joy Hernandez | Inserted Successfully
2026-06-26 12:04:28 | INFO | Instagram | Michael Rodriguez | Inserted Successfully
2026-06-26 12:04:29 | INFO | Instagram | William Gonzalez | Inserted Successfully
2026-06-26 12:04:30 | INFO | Instagram | Robert Miller | Inserted Successfully
2026-06-26 12:04:31 | INFO | Instagram | Richard Davis | Inserted Successfully
2026-06-26 12:04:32 | INFO | Instagram | Eileen Bailey | Inserted Successfully
2026-06-26 12:04:33 | INFO | Instagram | Larry Miller | Inserted Successfully
2026-06-26 12:04:34 | INFO | Instagram | Devin Green | Inserted Successfully
2026-06-26 12:04:35 | INFO | Instagram | Sydney Vasquez | Inserted Successfully
2026-06-26 12:04:36 | INFO | Instagram | Bonnie Lane | Inserted Successfully
2026-06-26 12:04:37 | INFO | Instagram | Steven Dorsey | Inserted Successfully
2026-06-26 12:04:38 | INFO | Instagram | Lori Huber | Inserted Successfully
2026-06-26 12:04:39 | INFO | Instagram | Kelly Brown | Inserted Successfully
2026-06-26 12:04:40 | INFO | Instagram | Michael Gonzales | Inserted Successfully
2026-06-26 12:04:41 | INFO | Instagram | Natalie Knox | Inserted Successfully
